code,description,class
NATO 6,Member of a Civilian Component Accompanying a Force Entering in Accordance with the Provisions of the NATO Status-of-Forces Agreement; Member of a Civilian Component Attached to or Employed by an Allied Headquarters Under the “Protocol on the Status of International Military Headquarters” Set Up Pursuant to the North Atlantic Treaty; and their Dependents,Diplomats and other representatives
NATO 7,"Attendant, Servant, or Personal Employee of NATO1, NATO2, NATO 3, NATO4, NATO5, and NATO6 Classes, or Immediate Family",Diplomats and other representatives
N8,Parent of an Alien Classified SK3 or SN3,Diplomats and other representatives
N9,"Child of N8 or of SK1, SK2, SK4, SN1, SN2 or SN4",Diplomats and other representatives
B2,Temporary visitors for pleasure,Temporary visitors for pleasure
WT,Visa Waiver Program – temporary visitors for pleasure,Temporary visitors for pleasure
GT,Guam Visa Waiver Program – temporary visitors for pleasure to Guam,Temporary visitors for pleasure
GMT,Guam - Commonwealth of Northern Mariana Islands (CNMI) Visa Waiver Program - temporary visitors for pleasure to Guam or Northern Mariana Islands,Temporary visitors for pleasure
B1,Temporary visitors for business,Temporary visitors for business
WB,Visa Waiver Program – temporary visitors for business,Temporary visitors for business
GB,Guam Visa Waiver Program – temporary visitors for business to Guam,Temporary visitors for business
GMB,Guam - Commonwealth of Northern Mariana Islands (CNMI) Visa Waiver Program - temporary visitors for business to Guam or Northern Mariana Islands,Temporary visitors for business
C1,Aliens in continuous and immediate transit through the United States,Others
C2,Aliens in transit to the United Nations,Others
C3,"Foreign government officials, their spouses, children, and attendants in transit",Others
F3,Canadian or Mexican national academic commuter students,Others
M3,Canadian or Mexican national vocational commuter students,Others
K1,Fiancé(e)s of U.S. citizens,Others
K2,Children of K1,Others
K3,"Spouses of U.S. citizens, visa pending",Others
K4,"Children of U.S. citizens, visa pending",Others
V1,"Spouses of permanent residents, visa pending",Others
V2,"Children of permanent residents, visa pending",Others
V3,"Dependents of V1 or V2, visa pending",Others
C1/D,Combined transit and crewmember visa,Others
D,Crewmember (sea or air),Others
T1,Victim of a severe form of trafficking in persons,Others
T2,Spouse of T1,Others
T3,Child of T1,Others
T4,Parent of T1,Others
T5,Unmarried sibling under age 18 of T1,Others
T6,Adult or minor child of a derivative beneficiary of a T1,Others
U1,Victim of criminal activity,Others
U2,Spouse or U1,Others
U3,Child of U1,Others
U4,Parent of U1 under 21 years of age,Others
U5,Unmarried Sibling under age 18 of U1 under 21 years of age,Others
S5,Certain Aliens Supplying Critical Information Relating to a Criminal Organization or Enterprise,Others
S6,Certain Aliens Supplying Critical Information Relating to Terrorism,Others
S7,Qualified Family Member of S5 or S6,Others
